deltaTime	endTimeStep
3600		43800
222	-6.06653040221448
223	-6.06963258702640
224	-6.07272401443227
225	-6.07580458229236
226	-6.07887418861705
227	-6.08193273157005
228	-6.08498010947158
229	-6.08801622080160
230	-6.09104096420302
231	-6.09405423848487
232	-6.09705594262553
233	-6.10004597577593
234	-6.10302423726276
235	-6.10599062659170
236	-6.10894504345067
237	-6.11188738771300
238	-6.11481755944076
239	-6.11773545888795
240	-6.12064098650374
241	-6.12353404293572
242	-6.12641452903313
243	-6.12928234584999
244	-6.13213739464839
245	-6.13497957690163
246	-6.13780879429743
247	-6.14062494874118
248	-6.14342794235910
249	-6.14621767750142
250	-6.14899405674561
251	-6.15175698289947
252	-6.15450635900441
253	-6.15724208833855
254	-6.15996407441998
255	-6.16267222100986
256	-6.16536643211565
257	-6.16804661199429
258	-6.17071266515538
259	-6.17336449636431
260	-6.17600201064552
261	-6.17862511328563
262	-6.18123370983657
263	-6.18382770611883
264	-6.18640700822446
265	-6.18897152252035
266	-6.19152115565124
267	-6.19405581454297
268	-6.19657540640551
269	-6.19907983873615
270	-6.20156901932263
271	-6.20404285624629
272	-6.20650125788514
273	-6.20894413291705
274	-6.21137139032282
275	-6.21378293938932
276	-6.21617868971256
277	-6.21855855120086
278	-6.22092243407788
279	-6.22327024888585
280	-6.22560190648860
281	-6.22791731807481
282	-6.23021639516105
283	-6.23249904959493
284	-6.23476519355825
285	-6.23701473957004
286	-6.23924760048968
287	-6.24146368951995
288	-6.24366292021017
289	-6.24584520645929
290	-6.24801046251896
291	-6.25015860299668
292	-6.25228954285884
293	-6.25440319743379
294	-6.25649948241498
295	-6.25857831386396
296	-6.26063960821353
297	-6.26268328227074
298	-6.26470925322000
299	-6.26671743862607
300	-6.26870775643717
301	-6.27068012498795
302	-6.27263446300256
303	-6.27457068959766
304	-6.27648872428546
305	-6.27838848697669
306	-6.28026989798358
307	-6.28213287802281
308	-6.28397734821844
309	-6.28580323010487
310	-6.28761044562972
311	-6.28939891715669
312	-6.29116856746850
313	-6.29291931976976
314	-6.29465109768981
315	-6.29636382528564
316	-6.29805742704466
317	-6.29973182788752
318	-6.30138695317091
319	-6.30302272869034
320	-6.30463908068291
321	-6.30623593583005
322	-6.30781322126030
323	-6.30937086455204
324	-6.31090879373623
325	-6.31242693729911
326	-6.31392522418491
327	-6.31540358379849
328	-6.31686194600802
329	-6.31830024114760
330	-6.31971840001990
331	-6.32111635389881
332	-6.32249403453203
333	-6.32385137414373
334	-6.32518830543716
335	-6.32650476159722
336	-6.32780067629305
337	-6.32907598368058
338	-6.33033061840508
339	-6.33156451560367
340	-6.33277761090785
341	-6.33396984044599
342	-6.33514114084578
343	-6.33629144923671
344	-6.33742070325245
345	-6.33852884103329
346	-6.33961580122851
347	-6.34068152299876
348	-6.34172594601835
349	-6.34274901047762
350	-6.34375065708520
351	-6.34473082707034
352	-6.34568946218515
353	-6.34662650470690
354	-6.34754189744019
355	-6.34843558371926
356	-6.34930750741007
357	-6.35015761291255
358	-6.35098584516273
359	-6.35179214963494
360	-6.35257647234388
361	-6.35333875984679
362	-6.35407895924549
363	-6.35479701818851
364	-6.35549288487313
365	-6.35616650804746
366	-6.35681783701245
367	-6.35744682162384
368	-6.35805341229416
